,close,datetime,high,low,open,volume,sma_10,sma_30,sma_100,bsh
329,237.31,2020-02-19 19:59:00,237.32,237.2837,237.315,30430,237.33906999999994,237.3269400000001,237.23216199999996,hold
330,237.32,2020-02-19 20:00:00,237.3283,237.29,237.3192,18559,237.33207,237.32800666666674,237.23355999999995,hold
331,237.33,2020-02-19 20:01:00,237.35,237.33,237.335,7156,237.32607,237.32967333333343,237.23525999999998,hold
332,237.31,2020-02-19 20:02:00,237.3399,237.3,237.33,16764,237.31906999999995,237.3311700000001,237.237301,hold
333,237.285,2020-02-19 20:03:00,237.31,237.27,237.31,21023,237.31056999999996,237.33200333333343,237.23885099999998,hold
334,237.26,2020-02-19 20:04:00,237.3,237.2,237.29,48561,237.30249999999992,237.33200333333343,237.24035099999998,hold
335,237.18,2020-02-19 20:05:00,237.26,237.16,237.255,46744,237.2914999999999,237.32933666666676,237.240941,hold
336,237.16,2020-02-19 20:06:00,237.2091,237.16,237.19,27323,237.27749999999986,237.32500333333343,237.24126099999998,hold
337,237.12,2020-02-19 20:07:00,237.16,237.1,237.16,69228,237.25849999999986,237.31933666666677,237.24086099999997,hold
338,237.125,2020-02-19 20:08:00,237.15,237.11,237.12,17415,237.23999999999987,237.31350333333341,237.240411,hold
339,237.11,2020-02-19 20:09:00,237.13,237.08,237.12,37840,237.21999999999989,237.30750333333341,237.239811,hold
340,237.05,2020-02-19 20:10:00,237.14,237.045,237.1,43549,237.1929999999999,237.2989200000001,237.238657,hold
341,237.08,2020-02-19 20:11:00,237.115,237.03,237.06,54144,237.1679999999999,237.29118666666676,237.237658,hold
342,237.0526,2020-02-19 20:12:00,237.09,237.03,237.08,35545,237.1422599999999,237.28260666666674,237.23664100000002,hold
343,237.075,2020-02-19 20:13:00,237.08,237.04,237.07,38057,237.1212599999999,237.27494000000007,237.23629100000002,hold
344,237.07,2020-02-19 20:14:00,237.08,237.06,237.075,32654,237.10225999999994,237.26260666666673,237.235491,hold
345,237.11,2020-02-19 20:15:00,237.11,237.05,237.07,38646,237.09525999999997,237.25260666666674,237.23489100000003,hold
346,237.13,2020-02-19 20:16:00,237.15,237.09,237.11,33451,237.09225999999998,237.2432733333334,237.23482800000005,hold
347,237.13,2020-02-19 20:17:00,237.14,237.11,237.13,33364,237.09326000000001,237.23461000000006,237.23472800000008,sell
348,237.18,2020-02-19 20:18:00,237.18,237.12,237.13,31416,237.09876,237.22761000000006,237.23522800000006,hold
349,237.188,2020-02-19 20:19:00,237.19,237.1601,237.18,22111,237.10656,237.22187666666676,237.23585800000004,hold
350,237.187,2020-02-19 20:20:00,237.19,237.16,237.18,30105,237.12025999999997,237.21511000000007,237.23641900000007,hold
351,237.14,2020-02-19 20:21:00,237.195,237.13,237.19,48969,237.12625999999995,237.20677666666674,237.23656900000006,hold
352,237.1625,2020-02-19 20:22:00,237.17,237.14,237.15,13996,237.13724999999994,237.19952666666674,237.23699400000004,hold
353,237.11,2020-02-19 20:23:00,237.18,237.09,237.165,35386,237.14074999999997,237.19086000000007,237.23664400000004,hold
354,237.1707,2020-02-19 20:24:00,237.18,237.12,237.12,38930,237.15081999999998,237.1851933333334,237.23677000000004,hold
355,237.15,2020-02-19 20:25:00,237.187,237.15,237.18,26485,237.15481999999997,237.1805266666667,237.23647000000005,hold
356,237.125,2020-02-19 20:26:00,237.17,237.085,237.15,46837,237.15431999999996,237.17469333333338,237.23547000000005,hold
357,237.12,2020-02-19 20:27:00,237.13,237.11,237.13,28546,237.15331999999995,237.16836000000004,237.23447000000004,hold
358,237.1,2020-02-19 20:28:00,237.12,237.09,237.12,56525,237.14531999999994,237.16136000000003,237.23337000000004,hold
359,237.1,2020-02-19 20:29:00,237.12,237.09,237.1,16093,237.13651999999993,237.15436000000003,237.23247000000003,hold
360,237.09,2020-02-19 20:30:00,237.13,237.07,237.1,47147,237.12681999999995,237.1466933333334,237.23156800000004,hold
361,237.0873,2020-02-19 20:31:00,237.09,237.04,237.09,54900,237.12154999999998,237.13860333333338,237.23074100000005,hold
362,237.14,2020-02-19 20:32:00,237.16,237.06,237.08,61143,237.11929999999998,237.13293666666672,237.23054100000004,hold
363,237.05,2020-02-19 20:33:00,237.15,237.045,237.15,30926,237.11329999999998,237.12510333333339,237.22918700000005,hold
364,236.96,2020-02-19 20:34:00,237.06,236.9379,237.05,54113,237.09222999999997,237.1151033333334,237.22698700000004,hold
365,236.93,2020-02-19 20:35:00,236.99,236.93,236.95,114982,237.07022999999995,237.10677000000004,237.22428700000003,hold
366,236.925,2020-02-19 20:36:00,236.9599,236.91,236.935,52587,237.05022999999997,237.09893666666673,237.22193700000003,hold
367,236.94,2020-02-19 20:37:00,236.97,236.92,236.93,92151,237.03222999999997,237.09293666666673,237.219737,hold
368,236.905,2020-02-19 20:38:00,236.96,236.9,236.93,64474,237.01273,237.08560333333338,237.21778700000002,hold
369,236.91,2020-02-19 20:39:00,236.95,236.9,236.91,59018,236.99373,237.07893666666672,237.21548700000002,hold
370,236.96,2020-02-19 20:40:00,236.96,236.885,236.92,49895,236.98073,237.0759366666667,237.213188,hold
371,237.01,2020-02-19 20:41:00,237.02,236.95,236.96,29428,236.97299999999996,237.07360333333338,237.212788,hold
372,237.01,2020-02-19 20:42:00,237.02,236.98,237.01,35442,236.95999999999998,237.07218333333338,237.21213799999998,hold
373,237.025,2020-02-19 20:43:00,237.04,236.985,237.0151,67562,236.95749999999998,237.07051666666672,237.21117999999998,hold
374,236.98,2020-02-19 20:44:00,237.03,236.9549,237.02,40353,236.9595,237.0675166666667,237.20908,hold
375,236.995,2020-02-19 20:45:00,237.035,236.95,236.98,71545,236.96599999999998,237.0636833333334,237.20662999999996,hold
